source	time	person	location	organization	miscellaneous
	2017-03-02 00:00:00				weekly|day|two|two
	2017-03-02 00:00:00			federal	first|one|one|two|2016|seven|11 million|one|years|1972|first|communist|first|1986|2013|conservatives
	2017-03-02 00:00:00				two|last year
	2017-03-02 00:00:00			the private chain	bipartisan|more than|million|five
	2017-03-02 00:00:00				2016|2016
	2017-03-02 00:00:00				year ago|13|13|at least dozen
	2017-03-02 00:00:00			presidential transition	one|last month
	2017-03-02 00:00:00				his first day|his first day|mounted an|one|two|one day|thousands|billions of dollars
	2017-03-02 00:00:00				last year
	2017-03-02 00:00:00				two
	2017-03-02 00:00:00				weeks
	2017-03-02 00:00:00				2016|last year|the early days|last year|night|about 50|last month|one|two|one|recent years
	2017-03-02 00:00:00				quarter|2018|25 percent|20 percent|30 percent|30 percent|70 percent|42 percent|11 percent|37|30 percent
	2017-03-02 00:00:00				day|first|trillion|15 year|trillion
	2017-03-02 00:00:00				fiscal 2018|second|fiscal year|fiscal 2017|six|50|fiscal 2017|about billion
	2017-03-02 00:00:00	neurosurgeon|al		the intelligence committee	the day|2016|more than 20|first|quarter|billion
	2017-03-02 00:00:00			diplomatic embassy|news	last year|the early days|daily|first|last month
	2017-03-03 00:00:00				this week|2016|day|two months|first|2003|one|the early days|last year|recent years
	2017-03-03 00:00:00				three|third|about 200 miles|the same time period|year|years|9th|2016|last week
	2017-03-03 00:00:00				2016
	2017-03-03 00:00:00	on			2016|thousands|light years
	2017-03-03 00:00:00	congressman		federal|tribal|federal	his second full day|about fifth|about 100 years|his first day|the waning days
	2017-03-04 00:00:00			on	second|first|around million to million|14
	2017-03-04 00:00:00				2016|early morning|just weeks|one|just 45 days|the early days|last year|the weekend|2016|last year|at least 28|50|one|recent days|first
	2017-03-04 00:00:00				on day|at least 28|50|the day|200|five|two|one|month|400|six|one|about 200|this weekend|dozens|about 200|about 150
	2017-03-04 00:00:00			administration|the meteorological agency	17 percent|daily|18 percent|fiscal year 2018|22
	2017-03-05 00:00:00		move		four|dozen|billion|the next fiscal|about million|about 85 percent|about billion|annually|35 years|2008|trillion|this year|trillion|six
	2017-03-05 00:00:00	ambassador		on	this weekend|2016|congressional|last week|2016|last year|2016|early morning|the weekend|2016|recent days|first
	2017-03-06 00:00:00			congressional oversight committee	nearly six million|90 to 120 days|eight|four
	2017-03-06 00:00:00				2016|100 percent|the early days
	2017-03-06 00:00:00				2016|100 percent
	2017-03-06 00:00:00				first
	2017-03-06 00:00:00			the foreign ministry	six|first
	2017-03-06 00:00:00				10
	2017-03-06 00:00:00				the two days|last year|conservatives|millions|20 million|about half|first|conservatives|two|two years|second|million
	2017-03-06 00:00:00			administration	last week|2005|annual|annual
	2017-03-06 00:00:00				
	2017-03-06 00:00:00				first|more than 90 percent|about 200 miles|the same period year
	2017-03-06 00:00:00	fellow			four|one|first|six|half billion dollars|millions
	2017-03-07 00:00:00				last week|2016|first|2016|the years|last year
	2017-03-07 00:00:00	particular			last week|last month|last year|recent years|first
	2017-03-07 00:00:00				the week of spokesman
	2017-03-07 00:00:00			conservative	
	2017-03-07 00:00:00				six|first|million|one month|first|tens of millions|this week|the coming months|this year|2020|million|million|seven
	2017-03-07 00:00:00				six|six|90
	2017-03-07 00:00:00				afternoon|about 12 percent|this year|last week|six months|today
	2017-03-07 00:00:00				the million acres
	2017-03-07 00:00:00				2016
	2017-03-07 00:00:00			committees	20 million|years|next year|the 2016 tax year|more than 30|half|30 percent|about two months|up to five|billion
	2017-03-07 00:00:00				
	2017-03-07 00:00:00				first|two
	2017-03-07 00:00:00				10|second|at least 50 percent|first|just over three percentage|more than million|2007|first|four years|two
	2017-03-07 00:00:00			religious	one|three|third|2014|from 2001 to 2003|another two years|from 2003
	2017-03-07 00:00:00			new health care	
	2017-03-08 00:00:00			nonprofit|financial|financial|presidential	billion|the beginning of 2015|billion|million|more than million|billion|million|10|2010|billion|billion|second
	2017-03-08 00:00:00			group	
	2017-03-08 00:00:00				two
	2017-03-08 00:00:00			engineers	the end of last year|thousands|two|between 2013 and 2016|first|years|first|14|first
	2017-03-08 00:00:00	host		biotech	weeks|31|one|at least nine|early morning|nearly dozen|one|one|one|one|three|first|last week|one
	2017-03-08 00:00:00	estranged			one|tens of thousands|first|first
	2017-03-08 00:00:00				24|300|23|31
	2017-03-08 00:00:00			business advisory council	the day|six|this year|nearly dozen
	2017-03-08 00:00:00				late last two
	2017-03-08 00:00:00				
	2017-03-08 00:00:00			legal	38|one|two|last year|three|last month
	2017-03-08 00:00:00				fiscal 2018|week
	2017-03-08 00:00:00			union	trillion|15|trillion|millions|billion|six years|trillion
	2017-03-08 00:00:00			federal court	six|earlier in the day|first|day|27|more than two dozen|first|first|second|first|first|first
	2017-03-09 00:00:00				two|16|replaces|28|2016
	2017-03-09 00:00:00				20 million|years|nearly 18 hours|next year|the 2016 tax year|more than 30|half|30 percent|about two months|up to five|up to three|billion
	2017-03-09 00:00:00			intelligence committee	2016
	2017-03-09 00:00:00				one day|first|last year|last year|hundreds of millions|the national month
	2017-03-09 00:00:00				three|hundreds|eight
	2017-03-09 00:00:00			the intelligence committee|the intelligence and intelligence committee	congressional|last year|two
	2017-03-09 00:00:00				this week|third|recent years|hundreds of thousands|more than million|thousands|one|hundreds of thousands|2016|20 years|three|2013|11|2003|last month|recent years|one|million|one|million
	2017-03-09 00:00:00				
	2017-03-09 00:00:00				
	2017-03-09 00:00:00		northern	the environmental group	more than five years|one year|first|first
	2017-03-09 00:00:00		state	revised	this week|27|first|more than two dozen|last month|next day|120|first
	2017-03-10 00:00:00		eastern		next week|first|three|2016|seven|one|one
	2017-03-10 00:00:00	took|took			this week|two days|last month|20
	2017-03-10 00:00:00	billionaire		pharmaceutical|pharmaceutical|venture capital	the past decade|21st|22|53|72 percent
	2017-03-10 00:00:00				six|the past three
	2017-03-11 00:00:00				first|more than million|the night of the
	2017-03-11 00:00:00		western district	the federal court	first|first|2014|seven|120 days|first
	2017-03-12 00:00:00			congressional	2010|20 million|2018|millions|million to 10 million|2016|2013|22 million|million|the middle of last|millions
	2017-03-12 00:00:00				days|one|46|three|one|46
	2017-03-12 00:00:00				one|first|this year|the by technology summit|several thousand|2015|the months that followed|one
	2017-03-12 00:00:00				two|first|transatlantic|1990|one|two|hundreds of thousands|50 billion euro|one|third|2008|two|week|the day
	2017-03-13 00:00:00		kingdom		the day|14 million|2005|million|more than million|first|14 million|next year
	2017-03-13 00:00:00				two|first|transatlantic|1990|one|two|hundreds of thousands|50 billion euro|one|third|2008|two|week|the day
	2017-03-13 00:00:00			financial oversight board	more than billion|billion year|only 30 percent|45 percent|31
	2017-03-13 00:00:00				trillion|2010|two|last week|14 million|next year|24 million|2026|thousands|monthly|90 days
	2017-03-13 00:00:00	congressman|presidential			thousands|one|the last eight|two|two|nearly 92 percent|77 percent
	2017-03-13 00:00:00				first|27|10|first|the 9th of|90 days|120|the day|first|more than 70|first
	2017-03-13 00:00:00			authority	two|months|the years 2022|the final days|2018|more than 50 miles per|2025|2011|2011|trillion|about billion|13|2025|this week|last week
	2017-03-13 00:00:00	insider			more than one hundred|2012|two|one|more than one billion|45|months|2013|2000|2012
	2017-03-13 00:00:00			congressional	million|next year|24 million|2026|2010|about 20 million|52 million|2026|28 million|that year|week|billion|between 2017 and 2026|50 to 64 years|2018|second|third|14 million|24 million|about 17 percent|at least million|15 percent to 20 percent|2018|2019|2020|billion|roughly 10 percent|14 million
	2017-03-13 00:00:00				2010|four|25 percent|this year|2018
	2017-03-13 00:00:00			federal|congressional	first|the 2018 fiscal year|conservative|billion|night|few years|one|2018
	2017-03-14 00:00:00			administration	several years|zero|2015|last week|2010
	2017-03-14 00:00:00				14 million|next year|500|500|24 million|2026|shed percent
	2017-03-14 00:00:00		states		2013|the first nine months|million euro
	2017-03-14 00:00:00			congressional	about 90|last year|20 percent|35|this year|the afternoon
	2017-03-14 00:00:00	new		plan	first|conservatives|night|first|later in the evening|more than three|conservatives|conservatives|about 10 million|one|conservatives|2016|about million|2017
	2017-03-14 00:00:00			administration	
	2017-03-15 00:00:00	replaces|replaces		the intelligence committee	one|second|two|13|the end of last|28|2016
	2017-03-15 00:00:00				2016|next week
	2017-03-15 00:00:00				last week|the decade and half|four|late last year|six|one|six
	2017-03-15 00:00:00			accord	two|2016|nearly 200|between 26 and 28 percent|2005|100|one|about percent|annual
	2017-03-15 00:00:00				
	2017-03-15 00:00:00			the homeland security	2014|week|two|third|recent years|hundreds of thousands|2010|seven|annual
	2017-03-15 00:00:00			congressional	some 20 or so years ago|17|2016
	2017-03-15 00:00:00	pick			one day|annual|2010|two|two|three
	2017-03-15 00:00:00				2012|more than dozen|22|one
	2017-03-15 00:00:00	bin			today
	2017-03-16 00:00:00				more than quarter|the fiscal year|28 percent|billion|last month|last month
	2017-03-16 00:00:00				20
	2017-03-16 00:00:00		southeast		second|the last year|1984|two|earlier last month
	2017-03-16 00:00:00				30 percent|31 percent|million|the years|one|billion|third|earlier this month|four years ago|about 20 miles|last fall|three|million|the last year|16|almost half|one|first
	2017-03-16 00:00:00				2018
	2017-03-16 00:00:00				first|53|four|the 40 years|first|101|first|193|first|145|the year|only about third
	2017-03-16 00:00:00			independent	billion|fiscal year|13|million|annual|billions|billion|billion|more than billion|more than 700 million|nearly billion year|2016
	2017-03-16 00:00:00				2018|million|years|the 1970s|billions of dollars|30|billions of dollars
	2017-03-16 00:00:00			defiant	two|first|last month|first|second|first|first|second|two|this week|4th|9th|9th|last month|first|four|four|ninth|more than year|next week
	2017-03-16 00:00:00				21 percent|billion|billion|50 percent|four years|million|million|fiscal|about million|million|between fiscal 2015|the fiscal year
	2017-03-16 00:00:00				first
	2017-03-16 00:00:00		eastern|eastern	federal|supported by	2018|million|hundred|420|more than 650|13|between 2011 and 2015|hundreds of millions|eastern|this week|hundred|this last year|36 weeks|1965|recent years|2011
	2017-03-16 00:00:00			defense	
	2017-03-16 00:00:00				2016|daily
	2017-03-16 00:00:00				first
	2017-03-16 00:00:00			regional newspaper	first|winter
	2017-03-16 00:00:00				
	2017-03-16 00:00:00				half|2017|billion|one|billion|24|10|2017|22|million|six|one|2017|million|five|between million and million|million|million|17|million|third|fiscal 2017
	2017-03-16 00:00:00				three|about two
	2017-03-16 00:00:00	briefed		vice|the intelligence committees	2016|last month|six weeks|three|two
	2017-03-16 00:00:00			economic	
	2017-03-16 00:00:00				
	2017-03-16 00:00:00				
	2017-03-16 00:00:00				three|conservatives|first|19|conservative|last week|two|more than three|conservatives|2010|about 20 million|half|24 million|billion|last week|four|one
	2017-03-17 00:00:00		bay	congressional|congressional	two|tens of billions of dollars|31 percent|million year|six|about million year|eight|four|five|last year|billion to billion|11|17|millions of dollars|each year|thousands|the years
	2017-03-17 00:00:00				two|years|third|six|2016|this year|last summer|conservatives|2003
	2017-03-17 00:00:00			administration	one|months|next year|first|billion|billion|two|billions of dollars
	2017-03-17 00:00:00	is partner			six|1994|summer|four|eight|thousands|annually
	2017-03-17 00:00:00				dozen|conservative
	2017-03-17 00:00:00				six|two|one|some 28 percent|one|three|his first weeks|the night|seven weeks|first
	2017-03-17 00:00:00				two
	2017-03-17 00:00:00				billion|between 2017|25 percent|2026|up to percent of the federal poverty they will be on the hook for larger portion|28 percent
	2017-03-17 00:00:00				
	2017-03-17 00:00:00				the final day|one|that month|six years
	2017-03-17 00:00:00				thousands
	2017-03-18 00:00:00				
	2017-03-18 00:00:00				two
	2017-03-18 00:00:00			federal|the national on association|the on hosts|resource center on nutrition|federal	first|fiscal 2018|six
	2017-03-18 00:00:00				
	2017-03-19 00:00:00				the upcoming 2018 fiscal year|annual
	2017-03-19 00:00:00				first|millions|age 50|the weekend|dozen|conservative|40|two|14 million|the next year|24 million|one|roughly 10 million|2017
	2017-03-19 00:00:00				last week|2016|last month|one
	2017-03-19 00:00:00				late spring|late last|this year|only 16 percent
	2017-03-20 00:00:00				3rd
	2017-03-20 00:00:00				
	2017-03-20 00:00:00				2016
	2017-03-20 00:00:00			congressional|defense	first|2016|2016|two|hours|one|two days|recent days|2020|one|democratic|2016|just two days|months earlier
	2017-03-20 00:00:00				28 percent|five|2015
	2017-03-20 00:00:00				million|fiscal year|million|million|the last three fiscal|almost half|billion|four|million|million|million|2016|11
	2017-03-20 00:00:00				the day|first|2016|first
	2017-03-20 00:00:00				
	2017-03-20 00:00:00			foreign ministry	the last three years|the presidential palace|later that month
	2017-03-20 00:00:00				2016
	2017-03-20 00:00:00				first|two months|morning|500|daily|millions|2010|only about 20|roughly three dozen|as many as 21|one|2018|millions|last week|14 million|this week|two|2017|about 70 million
	2017-03-20 00:00:00				first|two months|morning|500|daily|millions|2010|only about 20|roughly three dozen|as many as 21|one|2018|millions|last week|14 million|this week|two|2017|about 70 million
	2017-03-20 00:00:00				billion|one|trillion|five|million|first|2018|the 1970s|annual
	2017-03-21 00:00:00			transatlantic	next month|28|at least two|months
	2017-03-21 00:00:00				seven|this week|2016|2016|2016|2014|six months|2013|evangelical
	2017-03-21 00:00:00	bit			two|first
	2017-03-21 00:00:00				as much as percent|20|nearly percent
	2017-03-21 00:00:00				first|28|100 percent|one|years|quarterly|about two days|night|late night
	2017-03-21 00:00:00				
	2017-03-21 00:00:00				
	2017-03-21 00:00:00				first|more than 100|more than two
	2017-03-21 00:00:00			chamber	annual
	2017-03-21 00:00:00			number of regional human rights and immigration	three|six
	2017-03-21 00:00:00			law school on	46
	2017-03-22 00:00:00			powerful of committee	this year|2010|at least eight|year to 2017|2016|second
	2017-03-22 00:00:00	original		committee on he	10|last month|last year|first|more than million
	2017-03-22 00:00:00			the intelligence community	31|year
	2017-03-22 00:00:00				conservative
	2017-03-22 00:00:00				25
	2017-03-22 00:00:00			the of intelligence committee	the months|first
	2017-03-22 00:00:00	al			68
	2017-03-22 00:00:00				eight weeks|this week|2017|summer|2018
	2017-03-22 00:00:00			international	next year|million|20 million|several other dozen|just few months|millions|first|28|determines
	2017-03-22 00:00:00				2016|1997|one|one|three years|up to 18 months|morning|2016|weeks|the 2016 election cycle|first|millions|2016
	2017-03-22 00:00:00				conservative|conservative|all day|2010|500|morning|more than 25|million|14 million|24 million|the two weeks|more than 10|54
	2017-03-22 00:00:00			conservative	more than 25
	2017-03-22 00:00:00			the administration of	23
	2017-03-22 00:00:00				first|21st|blacks|first|2016|first
	2017-03-22 00:00:00			agricultural|farm	six years ago|one|next month|annual|nearly 80 percent|seven|about half|two|last month|third|about quarter|million|three|2016|1994|early 1990s|billion|million|annual|billion|this year|fourth|first|20 percent
	2017-03-22 00:00:00			military	
	2017-03-22 00:00:00				
	2017-03-22 00:00:00				60|60
	2017-03-22 00:00:00				
	2017-03-22 00:00:00				evening|earlier this nominated|second|earlier this month
	2017-03-22 00:00:00				
	2017-03-22 00:00:00				western|recent decades|one|the day
	2017-03-23 00:00:00				last week|few more years|nine|eight|nearly 30 percent|two|two|two|billion|13 years|third|around 60 percent
	2017-03-23 00:00:00				
	2017-03-23 00:00:00	political			two|two|two
	2017-03-23 00:00:00				some 20 million|seventh|year|millions|several hundred|several dozen|24
	2017-03-23 00:00:00				conservative|evening|this evening
	2017-03-23 00:00:00				
	2017-03-23 00:00:00				
	2017-03-23 00:00:00				2010|million|half|72 percent|some 20 million|155 million|70 million|32 million|56 million|15 million|12 million|million|million|28 million|million|more than one|about trillion|about 18 percent|20 percent|2016|the past six|60|first|20 million
	2017-03-23 00:00:00			federal	the day|14|two|months
	2017-03-23 00:00:00				more than four years|the digital age|the 2016 presidential campaign|last year
	2017-03-23 00:00:00			the intelligence committee	
	2017-03-23 00:00:00			hedge fund	months|one|thousands|nearly six years|last week|earlier this week|first|second
	2017-03-23 00:00:00				up to 40|about 30 or 40|conservative
	2017-03-23 00:00:00			the foreign relations committee	seven|seven|25|annual
	2017-03-23 00:00:00	mount		federal appeals court	60|one|fourth|eight|the day after|60|10|2018|2016|2018|one|60|next year|60|about six hours|the last year|2008
	2017-03-24 00:00:00				earlier in the week|about percent|overnight|500|around 10 percent|less than about 90 minutes|earlier in the week
	2017-03-24 00:00:00				two
	2017-03-24 00:00:00				the day|2016|half|third|last week|billion|four
	2017-03-24 00:00:00				thousands|years|more than barrels
	2017-03-24 00:00:00				six|two|more than 20|27|first|4th|4th|two|six|4th
	2017-03-24 00:00:00				this week|conservatives|fourth quarter
	2017-03-24 00:00:00				
	2017-03-24 00:00:00				
	2017-03-24 00:00:00				today
	2017-03-24 00:00:00				2016|first|20|2010|seven years|two months|two|millions|trillion|millions|14 million|next year|more than 24 million|earlier in the week|500|about percent|500|the past seven years|20 million
	2017-03-24 00:00:00				
	2017-03-24 00:00:00				
	2017-03-24 00:00:00				conservative|conservatives|earlier in the day|first
	2017-03-24 00:00:00				three decades|first|one|last week|about 25 miles|weeks|hundreds|earlier this week|16|68|this week|one|thousands|31
	2017-03-24 00:00:00				2010
	2017-03-24 00:00:00				
	2017-03-25 00:00:00			national public health	next week|years|one|almost half|about third|about 70 percent|earlier this cheered|million|each year|two dozen
	2017-03-25 00:00:00			nonpartisan	more than 12 million|2017|2018|one|25 percent|only one|hundreds of millions of dollars|the next few months|2018|this year|2016|each year|14 million|2010
	2017-03-25 00:00:00	beautiful		wonderful new|healthcare	just over two months ago|2017|the worst year|seven horrible years
	2017-03-25 00:00:00			healthcare|healthcare	seven|2012|2010|2015|first|conservatives
	2017-03-26 00:00:00			no is leading is|both houses of	2010|2016
	2017-03-26 00:00:00			congressional committee|intelligence committee|the intelligence services|intelligence community	2016|20|last week|2016|2016
	2017-03-26 00:00:00				the last month
	2017-03-26 00:00:00			billion health|hospital purchasing group|the innovation center|departments	2010|half|more than dozen|trillion year|10|2013|half|billion|10 years|17|the early hours
	2017-03-26 00:00:00		southern beach		four|three|one|the early afternoon|one|some 40 miles|hundreds of thousands
	2017-03-26 00:00:00			fiscal	conservatives|morning
	2017-03-26 00:00:00	wave|loyal	the borough of		day|first|his weekend|2010|two|tens of thousands|two|first
	2017-03-27 00:00:00				2016
	2017-03-27 00:00:00				60|20|16|three|10|2018|2016
	2017-03-27 00:00:00			bank|state development bank	first|13|early 2016|two|150 billion|at least more than half|daily|earlier this month|congressional|the night|2016 presidential
	2017-03-27 00:00:00				2016
	2017-03-27 00:00:00				the last week|2016|tomorrow
	2017-03-27 00:00:00				2016
	2017-03-27 00:00:00				this week|one|three decades|second|years|second
	2017-03-27 00:00:00				2016|the decades
	2017-03-27 00:00:00			mosques	monthly|three|the nine years|2018|800|45|50|one|14|25 years|300|hundreds|hundreds|30 percent|decades|2013|mosques|nearly 170|annual|about three
	2017-03-27 00:00:00	de called|threat			dozens|25|billion|only million|one|first|two years ago|five|seven|last year|million|last week|roughly 120
	2017-03-28 00:00:00		city		dozens|the second straight day|billion|million|only million|eight|three
	2017-03-28 00:00:00				10 years|decades|third
	2017-03-28 00:00:00				last week|this month|two|months|this week|western|western|28|second
	2017-03-28 00:00:00			government council|council	10|2010|one|two|last year
	2017-03-28 00:00:00			advocacy|digital	one|last week|earlier this month
	2017-03-28 00:00:00				conservative
	2017-03-28 00:00:00				2016
	2017-03-28 00:00:00				first|last month
	2017-03-28 00:00:00			group	nearly 200|2014|32 percent|2005
	2017-03-28 00:00:00				one|2016|25|last month
	2017-03-28 00:00:00				next week|about 26|48|60|60
	2017-03-28 00:00:00				conservatives|fourth|two|17
	2017-03-28 00:00:00				
	2017-03-28 00:00:00				
	2017-03-29 00:00:00				million|at least|earlier this month|thousands|more than 80 percent|last year
	2017-03-29 00:00:00				later this year|2015|net days|billions|2014
	2017-03-29 00:00:00				21|2010|earlier this week|nearly billion
	2017-03-29 00:00:00				two|nearly week|2013|2016|three|the first day|third|one
	2017-03-29 00:00:00			administration	billion|19|last year|billion|23|40 days
	2017-03-29 00:00:00				2010|10|roughly three dozen|one|20 percent|35|20 percent
	2017-03-29 00:00:00				20
	2017-03-29 00:00:00			healthcare	about 20|the past decade|year|21st
	2017-03-29 00:00:00				next week
	2017-03-30 00:00:00	mother		federal appeals court|the high court|federal agency|environmental	four|two years|his 11 years|2015|fifth|2016|1984|2007|2014|first
	2017-03-30 00:00:00				conservative|about 90 percent|only about 10 percent
	2017-03-30 00:00:00				more than billion|92 percent|at least half|more than trillion|10|2005|two|less than year
	2017-03-30 00:00:00			ministry of trade|the organization promoting bilateral	first|18|1997
	2017-03-30 00:00:00	job		department	first|next week|two|two|this month|decades
	2017-03-30 00:00:00			senate	just days|last month|84|31|2016|an estimated million|million|fiscal 2019|million
	2017-03-30 00:00:00			legislative|healthcare|congressional	conservatives|conservative|three|one|conservatives|one|conservatives|2010|two|next year|28|about three dozen|the about 15 percent|237|zero|2008|2011|one
	2017-03-30 00:00:00				earlier this month|last week|2016
	2017-03-30 00:00:00				12th|1996|1974
	2017-03-30 00:00:00				
	2017-03-30 00:00:00				billion|just four months|two|recent weeks|2016|11 percent|22|13|20
	2017-03-30 00:00:00			congressional committee	
	2017-03-30 00:00:00			my new	2016|1988|this year|last year|2016|weeks|two|two
	2017-03-30 00:00:00				million|80 percent|between 11 and 20|90 percent|last year
	2017-03-30 00:00:00	an citizen	six		federal|religious
	2017-03-31 00:00:00				annual|first|next week|63|10|two|first|second
	2017-03-31 00:00:00	chief		scientific integrity watchdog|on|we	more than dozen
	2017-03-31 00:00:00	chief			the day|first|three|40|the next week|million
	2017-03-31 00:00:00				earlier this week|2013|shortly after 24|at least eight|earlier this week
	2017-03-31 00:00:00	chief			the day|first|three|40|the next week|million
	2017-03-31 00:00:00				
	2017-03-31 00:00:00				about dozen|16|hundreds of millions|this session|last week|this year
	2017-03-31 00:00:00				two|two
	2017-03-31 00:00:00			supports	two|first|one|billion|hundreds|two years|2014|33 months|24|23|25
	2017-03-31 00:00:00		do		two percent|2024|some 70 billion|first|first|25|first|the end of the year|about 70 percent|four|years|first|2014
	2017-03-31 00:00:00			nonpartisan	second|day|the first 100 days|23|this week|1986|many months|2016|last week|100
	2017-03-31 00:00:00	grave			28|10 billion|annual|first
	2017-03-31 00:00:00				
	2017-03-31 00:00:00				two|first|2013
	2017-03-31 00:00:00				two|two|millions of dollars|two weeks ago|two
	2017-03-31 00:00:00	chief			the day|first|three|40|the next week|million
	2017-03-31 00:00:00				week|week|next week|2016|two|annual|billion|billion|second|between 2001 and the end of 2016|some 40
	2017-04-02 00:00:00	grandfather			the 12 months|millions of dollars|2004|18|two years
	2017-04-02 00:00:00				third|2016|conservative|one|37|one
	2017-04-02 00:00:00			congressional	2016|as many as 20|one|23|last week|two
	2017-04-02 00:00:00				2015|first|last week|last week|last month
	2017-04-02 00:00:00				third
	2017-04-03 00:00:00				
	2017-04-03 00:00:00				19th|the 1st of last|2014|that year|1st|18
	2017-04-03 00:00:00				fiscal year 2018|first
	2017-04-03 00:00:00	strategic		strategic	weeks|nearly three years
	2017-04-03 00:00:00			style meeting|daily	about million
	2017-04-03 00:00:00				two|first|two years|two|first|2014|33 months|24|one|billion|hundreds
	2017-04-03 00:00:00			bank|bank	2015|age 19|2002|between 1995|only four|2010|2nd|2013|2nd|2nd
	2017-04-03 00:00:00				last week|one|million|two|last month|46|2015
	2017-04-03 00:00:00				60
	2017-04-03 00:00:00			healthcare|congressional|healthcare	moderate|conservatives|last month|spring|2010|moderate|conservatives|late last week|2018|conservative|billion
	2017-04-03 00:00:00				
	2017-04-04 00:00:00				15
	2017-04-04 00:00:00				more than 150|first|23|at least half billion dollars|the years|tens of thousands|28 percent|million
	2017-04-04 00:00:00				last week|about billion|11th|billion|billion|this week|five|the last year|one|2016|three years|year earlier|the first two months|last week|2017
	2017-04-04 00:00:00				two|two|shortly after 24|one|last week|eight|half|more than dozen|last week|2013
	2017-04-04 00:00:00		east coast		trillion|one|2016|50|this year|dozens|10 to 20|90
	2017-04-04 00:00:00			federal|presidential|high court	years|60|the decades|evening|the 19th century|first|last year|one|2016
	2017-04-04 00:00:00				60
	2017-04-04 00:00:00				first|second|20 percent|35
	2017-04-04 00:00:00				later this week|first
	2017-04-04 00:00:00				first
	2017-04-04 00:00:00				200|million|million|billion|more than billion|first|four|two|eight|one|one
	2017-04-04 00:00:00				2016|million|dozens
	2017-04-04 00:00:00				nearly 200|between 26 percent and 28 percent|2005|2016|last week|only seven
	2017-04-04 00:00:00				
	2017-04-04 00:00:00				2016
	2017-04-05 00:00:00	mainstream		energy	early this year|17|first|one|two|two months|first
	2017-04-05 00:00:00				last year
	2017-04-05 00:00:00			tax oversight committee	coming weeks|this spring|summer|earlier this|two|20 percent|first
	2017-04-05 00:00:00				one|three
	2017-04-05 00:00:00			foreign ministry	
	2017-04-05 00:00:00				night
	2017-04-05 00:00:00			intelligence committee	weeks|day|bipartisan
	2017-04-05 00:00:00				tomorrow|days|one|this week|weeks
	2017-04-05 00:00:00				one|last month|21st|2014|one
	2017-04-06 00:00:00			federal appeals court	one|first|41|60|last year|the decades
	2017-04-06 00:00:00				the last couple of days
	2017-04-06 00:00:00			agriculture department	first|1995|the late 1980s
	2017-04-06 00:00:00			committee on homeland security and governmental affairs	2018|tomorrow|2018|this year|2018
	2017-04-06 00:00:00				two|seven|10|50|2016
	2017-04-06 00:00:00	constitutional			first|first|conservatives|20|30|today|last year|three|78|as many as four|the decades|three|2018|last year|fourth|first|11 months|today|three decades ago|one|the 19th century
	2017-04-06 00:00:00				this week|1999|2008|10 percent
	2017-04-06 00:00:00			federal	11|60|51
	2017-04-06 00:00:00	ally		small manufacturer|five board	two years|conservative|2015|last year|only two|annual|hundreds|16
	2017-04-06 00:00:00				five|more than million|one|13|60 legislative days|11|13|two
	2017-04-06 00:00:00				first|two
	2017-04-06 00:00:00				billion|million|million
	2017-04-06 00:00:00			appeals court	41|first|at least 60|60|24 18 minutes|15 26
	2017-04-06 00:00:00				two|one|45 percent|billion|months|the first day|the past two years|more than trillion|one week
	2017-04-06 00:00:00	former			three|2018|first|22 months|nearly billion|2015|million|2011
	2017-04-06 00:00:00			state news agency	first|two|thousand|one|dozens|2016|two
	2017-04-06 00:00:00				conservative|24|conservatives|summer|this year
	2017-04-06 00:00:00				15|first|1995|2013|2010|42 percent|as low as 35 percent|the coming months|two|33 percent|70 percent|one
	2017-04-07 00:00:00				about an hour|night
	2017-04-07 00:00:00				first|two
	2017-04-07 00:00:00				years|early in the day|this week|scores|seven years
	2017-04-07 00:00:00	de		the ceasefire task force|the task force	early 2016|today|1500
	2017-04-07 00:00:00				
	2017-04-07 00:00:00			the legislative branch	this week|first|today
	2017-04-07 00:00:00			state	nine
	2017-04-07 00:00:00				
	2017-04-07 00:00:00			national	first|one month|one|46|first
	2017-04-07 00:00:00				
	2017-04-07 00:00:00			army	
	2017-04-07 00:00:00				
	2017-04-07 00:00:00			diplomatic	this week|the last few days|one|2013|earlier this week|at least 70|two|dozens|2013|hundreds|minutes
	2017-04-07 00:00:00			the security council	
	2017-04-07 00:00:00			ministry|global|foreign ministry	first
	2017-04-07 00:00:00			foreign ministry	two
	2017-04-07 00:00:00				recent days|this week
	2017-04-07 00:00:00			state	three
	2017-04-07 00:00:00			foreign ministry|24	earlier this week|afternoon|two|only 23|36|the early hours|first|next week|one
	2017-04-07 00:00:00				months|billion marks|billion|more than year|thousands|two
	2017-04-07 00:00:00				2010|the conflict minerals law
	2017-04-07 00:00:00				2003
	2017-04-07 00:00:00			the media office	first|six years|40 km
	2017-04-07 00:00:00				four|seven|seven
	2017-04-07 00:00:00			congressional	three|early 2015|two|2015
	2017-04-07 00:00:00			palace	dozens|two|first|the first weeks|as early as evening|one|late afternoon|59|two|the three days|one
	2017-04-07 00:00:00			ministry	23|36|two|six
	2017-04-07 00:00:00				
	2017-04-07 00:00:00				
	2017-04-07 00:00:00				today|today|two
	2017-04-07 00:00:00				
	2017-04-07 00:00:00				six|three|executive order barring|90 days|four|four|first|one|six|the day|two|more than two dozen|six|last month
